date,key,value
1990-01-26,aaii_spread,-14.0
1990-02-02,aaii_bears,48.0
1990-02-02,aaii_bulls,15.0
1990-02-02,aaii_neutral,37.0
1990-02-02,aaii_spread,-33.0
1990-02-09,aaii_bears,51.0
1990-02-09,aaii_bulls,19.0
1990-02-09,aaii_neutral,30.0
1990-02-09,aaii_spread,-32.0
1990-02-16,aaii_bears,34.0
1990-02-16,aaii_bulls,23.0
1990-02-16,aaii_neutral,43.0
1990-02-16,aaii_spread,-11.0
1990-02-23,aaii_bears,38.0
1990-02-23,aaii_bulls,24.0
1990-02-23,aaii_neutral,38.0
1990-02-23,aaii_spread,-14.0
1990-03-02,aaii_bears,42.0
1990-03-02,aaii_bulls,21.0
1990-03-02,aaii_neutral,37.0
1990-03-02,aaii_spread,-21.0
1990-03-09,aaii_bears,36.0
1990-03-09,aaii_bulls,22.0
1990-03-09,aaii_neutral,42.0
1990-03-09,aaii_spread,-14.0
1990-03-16,aaii_bears,40.0
1990-03-16,aaii_bulls,25.0
1990-03-16,aaii_neutral,35.0
1990-03-16,aaii_spread,-15.0
1990-03-23,aaii_bears,24.0
1990-03-23,aaii_bulls,37.0
1990-03-23,aaii_neutral,39.0
1990-03-23,aaii_spread,13.0
1990-03-30,aaii_bears,31.0
1990-03-30,aaii_bulls,34.0
1990-03-30,aaii_neutral,35.0
1990-03-30,aaii_spread,3.0
1990-04-06,aaii_bears,25.0
1990-04-06,aaii_bulls,38.0
1990-04-06,aaii_neutral,37.0
1990-04-06,aaii_spread,13.0
1990-04-12,aaii_bears,17.0
1990-04-12,aaii_bulls,27.0
1990-04-12,aaii_neutral,56.0
1990-04-12,aaii_spread,10.0
1990-04-20,aaii_bears,23.0
1990-04-20,aaii_bulls,34.0
1990-04-20,aaii_neutral,43.0
1990-04-20,aaii_spread,11.0
1990-04-27,aaii_bears,37.0
1990-04-27,aaii_bulls,28.0
1990-04-27,aaii_neutral,35.0
1990-04-27,aaii_spread,-9.0
1990-05-04,aaii_bears,45.0
1990-05-04,aaii_bulls,20.0
1990-05-04,aaii_neutral,35.0
1990-05-04,aaii_spread,-25.0
1990-05-11,aaii_bears,34.0
1990-05-11,aaii_bulls,28.0
1990-05-11,aaii_neutral,38.0
1990-05-11,aaii_spread,-6.0
1990-05-18,aaii_bears,28.0
1990-05-18,aaii_bulls,37.0
1990-05-18,aaii_neutral,35.0
1990-05-18,aaii_spread,9.0
1990-05-25,aaii_bears,29.0
1990-05-25,aaii_bulls,39.0
1990-05-25,aaii_neutral,32.0
1990-05-25,aaii_spread,10.0
1990-06-01,aaii_bears,35.0
1990-06-01,aaii_bulls,37.0
1990-06-01,aaii_neutral,28.0
1990-06-01,aaii_spread,2.0
1990-06-08,aaii_bears,30.0
1990-06-08,aaii_bulls,35.0
1990-06-08,aaii_neutral,35.0
1990-06-08,aaii_spread,5.0
1990-06-15,aaii_bears,25.0
1990-06-15,aaii_bulls,43.0
1990-06-15,aaii_neutral,32.0
1990-06-15,aaii_spread,18.0
1990-06-22,aaii_bears,34.0
1990-06-22,aaii_bulls,34.0
1990-06-22,aaii_neutral,32.0
1990-06-22,aaii_spread,0.0
1990-06-29,aaii_bears,38.0
1990-06-29,aaii_bulls,31.0
1990-06-29,aaii_neutral,31.0
1990-06-29,aaii_spread,-7.0
1990-07-06,aaii_bears,38.0
1990-07-06,aaii_bulls,28.0
1990-07-06,aaii_neutral,34.0
1990-07-06,aaii_spread,-10.0
1990-07-13,aaii_bears,30.0
1990-07-13,aaii_bulls,40.0
1990-07-13,aaii_neutral,30.0
1990-07-13,aaii_spread,10.0
1990-07-20,aaii_bears,30.0
1990-07-20,aaii_bulls,40.0
1990-07-20,aaii_neutral,30.0
1990-07-20,aaii_spread,10.0
1990-07-27,aaii_bears,24.0
1990-07-27,aaii_bulls,52.0
1990-07-27,aaii_neutral,24.0
1990-07-27,aaii_spread,28.0
1990-08-03,aaii_bears,46.0
1990-08-03,aaii_bulls,26.0
1990-08-03,aaii_neutral,28.0
1990-08-03,aaii_spread,-20.0
1990-08-10,aaii_bears,54.0
1990-08-10,aaii_bulls,25.0
1990-08-10,aaii_neutral,21.0
1990-08-10,aaii_spread,-29.0
1990-08-17,aaii_bears,59.0
1990-08-17,aaii_bulls,18.0
1990-08-17,aaii_neutral,23.0
1990-08-17,aaii_spread,-41.0
1990-08-24,aaii_bears,51.0
1990-08-24,aaii_bulls,25.0
1990-08-24,aaii_neutral,24.0
1990-08-24,aaii_spread,-26.0
1990-08-31,aaii_bears,61.0
1990-08-31,aaii_bulls,23.0
1990-08-31,aaii_neutral,16.0
1990-08-31,aaii_spread,-38.0
1990-09-07,aaii_bears,49.0
1990-09-07,aaii_bulls,33.0
1990-09-07,aaii_neutral,18.0
1990-09-07,aaii_spread,-16.0
1990-09-14,aaii_bears,51.0
1990-09-14,aaii_bulls,16.0
1990-09-14,aaii_neutral,33.0
1990-09-14,aaii_spread,-35.0
1990-09-21,aaii_bears,56.0
1990-09-21,aaii_bulls,13.0
1990-09-21,aaii_neutral,31.0
1990-09-21,aaii_spread,-43.0
1990-09-28,aaii_bears,54.0
1990-09-28,aaii_bulls,26.0
1990-09-28,aaii_neutral,20.0
1990-09-28,aaii_spread,-28.0
1990-10-05,aaii_bears,59.0
1990-10-05,aaii_bulls,15.0
1990-10-05,aaii_neutral,26.0
1990-10-05,aaii_spread,-44.0
1990-10-12,aaii_bears,52.0
1990-10-12,aaii_bulls,21.0
1990-10-12,aaii_neutral,27.0
1990-10-12,aaii_spread,-31.0
1990-10-19,aaii_bears,67.0
1990-10-19,aaii_bulls,13.0
1990-10-19,aaii_neutral,20.0
1990-10-19,aaii_spread,-54.0
1990-10-26,aaii_bears,58.0
1990-10-26,aaii_bulls,23.0
1990-10-26,aaii_neutral,19.0
1990-10-26,aaii_spread,-35.0
1990-11-02,aaii_bears,44.0
1990-11-02,aaii_bulls,20.0
1990-11-02,aaii_neutral,36.0
1990-11-02,aaii_spread,-24.0
1990-11-09,aaii_bears,48.0
1990-11-09,aaii_bulls,20.0
1990-11-09,aaii_neutral,32.0
1990-11-09,aaii_spread,-28.0
1990-11-16,aaii_bears,55.0
1990-11-16,aaii_bulls,12.0
1990-11-16,aaii_neutral,33.0
1990-11-16,aaii_spread,-43.0
1990-11-21,aaii_bears,47.0
1990-11-21,aaii_bulls,16.0
1990-11-21,aaii_neutral,37.0
1990-11-21,aaii_spread,-31.0
1990-11-30,aaii_bears,45.0
1990-11-30,aaii_bulls,22.0
1990-11-30,aaii_neutral,33.0
1990-11-30,aaii_spread,-23.0
1990-12-07,aaii_bears,41.0
1990-12-07,aaii_bulls,26.0
1990-12-07,aaii_neutral,33.0
1990-12-07,aaii_spread,-15.0
1990-12-14,aaii_bears,38.0
1990-12-14,aaii_bulls,31.0
1990-12-14,aaii_neutral,31.0
1990-12-14,aaii_spread,-7.0
1990-12-21,aaii_bears,50.0
1990-12-21,aaii_bulls,16.0
1990-12-21,aaii_neutral,34.0
1990-12-21,aaii_spread,-34.0
1990-12-28,aaii_bears,40.0
1990-12-28,aaii_bulls,30.0
1990-12-28,aaii_neutral,30.0
1990-12-28,aaii_spread,-10.0
1991-01-04,aaii_bears,30.0
1991-01-04,aaii_bulls,31.0
1991-01-04,aaii_neutral,39.0
1991-01-04,aaii_spread,1.0
1991-01-11,aaii_bears,48.0
1991-01-11,aaii_bulls,22.0
1991-01-11,aaii_neutral,30.0
1991-01-11,aaii_spread,-26.0
1991-01-18,aaii_bears,51.0
1991-01-18,aaii_bulls,22.0
1991-01-18,aaii_neutral,27.0
1991-01-18,aaii_spread,-29.0
1991-01-25,aaii_bears,50.0
1991-01-25,aaii_bulls,25.0
1991-01-25,aaii_neutral,25.0
1991-01-25,aaii_spread,-25.0
1991-02-01,aaii_bears,42.0
1991-02-01,aaii_bulls,29.0
1991-02-01,aaii_neutral,29.0
1991-02-01,aaii_spread,-13.0
1991-02-08,aaii_bears,36.0
1991-02-08,aaii_bulls,36.0
1991-02-08,aaii_neutral,28.0
1991-02-08,aaii_spread,0.0
1991-02-15,aaii_bears,24.0
1991-02-15,aaii_bulls,46.0
1991-02-15,aaii_neutral,30.0
1991-02-15,aaii_spread,22.0
1991-02-22,aaii_bears,23.0
1991-02-22,aaii_bulls,57.0
